id,title,short_description,full_description,instructions,materials,duration_minutes,difficulty,age_groups,category,skills_developed,location,tags,premium,season
"learn_new_001,Сортировка сокровищ,Рассортировать предметы по типу,Ребенок сортирует фасоль и пуговицы по ячейкам контейнера от яиц.,Смешайте фасоль и пуговицы | Предложите ребенку разложить их по ячейкам,""Контейнер от яиц,фасоль,пуговицы"",10,easy,3-5,learn_new,""логика,внимание,моторика"",indoor,""сортировка,игра,внимание"",false,any"
learn_new_002,Капсула времени,Создай послание для себя в будущем! Что ты хочешь себе рассказать?,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,9-12,learn_new,развитие навыков,indoor,активность,false,any
learn_new_003,Домашний квест,Домашний квест,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,9-12,learn_new,развитие навыков,indoor,активность,false,any
learn_new_004,Шифры и коды,Шифры и коды,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,9-12,learn_new,развитие навыков,indoor,активность,false,any
learn_new_005,Научный эксперимент,Научный эксперимент,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,9-12,learn_new,развитие навыков,indoor,активность,false,any
learn_new_006,Письмо от руки,Письмо от руки,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,9-12,learn_new,развитие навыков,indoor,активность,false,any
learn_new_007,Изучение нового навыка,Изучение нового навыка,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,13-17,learn_new,развитие навыков,indoor,активность,false,any
learn_new_008,Разбор гардероба,Разбор гардероба,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,13-17,learn_new,развитие навыков,indoor,активность,false,any
learn_new_009,Планирование путешествия,Планирование путешествия,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,13-17,learn_new,развитие навыков,indoor,активность,false,any
learn_new_010,Микро-разбор,Наведи идеальный порядок в одном ящике стола. Мгновенное удовлетворение!,Интересная активность,Следуйте описанию активности,Базовые материалы,15,easy,18+,learn_new,развитие навыков,indoor,активность,false,any
learn_new_011,Свидание с собой,Свидание с собой,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,18+,learn_new,развитие навыков,indoor,активность,false,any
learn_new_012,Планирование недели,Планирование недели,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,18+,learn_new,развитие навыков,indoor,активность,false,any
learn_new_013,Домашний SPA-ритуал,Домашний SPA-ритуал,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,18+,learn_new,развитие навыков,indoor,активность,false,any
learn_new_014,Цифровая детоксикация,Цифровая детоксикация,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,18+,learn_new,развитие навыков,indoor,активность,false,any
cooking_001,Создание своего рецепта,Создание своего рецепта,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,13-17,cooking,развитие навыков,indoor,активность,false,any
cooking_002,Приготовление нового блюда,Приготовление нового блюда,Интересная активность,Следуйте описанию активности,Базовые материалы,30,easy,18+,cooking,развитие навыков,indoor,активность,false,any
