id,title,short_description,full_description,instructions,materials,duration_minutes,difficulty,age_groups,category,skills_developed,location,tags,premium,season
creativity_016,Написание рассказа,Создание собственной истории,"Написание короткого рассказа или новеллы. Развитие литературных способностей и воображения.","Придумайте интересного главного героя | Создайте конфликт или проблему | Опишите место действия | Напишите увлекательный сюжет | Придумайте неожиданную развязку","Тетрадь,ручка,компьютер (по желанию)",60,medium,13-17,creativity,"литературное творчество,воображение,языковые навыки",indoor,"рассказ,писательство,творчество",false,any
creativity_017,Фотопрогулка,Изучение мира через объектив,"Фотографическая прогулка с целью запечатлеть интересные моменты, изучить композицию и развить художественный взгляд.","Возьмите фотоаппарат или телефон | Выберите тему для фотосессии | Ищите интересные ракурсы и освещение | Экспериментируйте с композицией | Отберите лучшие снимки","Фотоаппарат или смартфон,заряженная батарея",45,easy,13-17,creativity,"фотография,композиция,художественный взгляд",outdoor,"фотография,прогулка,искусство",false,any
creativity_018,Создание коллажа,Композиция из разных материалов,"Создание художественного коллажа из журналов, фотографий, природных материалов и других подручных средств.","Выберите тему для коллажа | Соберите материалы: вырезки, фото, листья | Разложите композицию на бумаге | Приклейте элементы красиво | Добавьте детали маркерами","Основа,журналы,фотографии,клей,ножницы,природные материалы",40,easy,13-17,creativity,"композиция,работа с материалами,художественный вкус",indoor,"коллаж,композиция,творчество",false,any
creativity_019,Практика каллиграфии,Искусство красивого письма,"Изучение и практика красивого письма. Освоение различных шрифтов и декоративных элементов.","Изучите базовые принципы каллиграфии | Тренируйтесь писать отдельные буквы | Попробуйте разные стили шрифтов | Напишите красивую цитату | Украсьте орнаментами","Каллиграфические ручки,специальная бумага,образцы шрифтов",45,medium,18+,creativity,"мелкая моторика,терпение,эстетический вкус",indoor,"каллиграфия,письмо,искусство",false,any
creativity_020,Письмо благодарности,Выражение признательности,"Написание искреннего письма благодарности близкому человеку. Практика выражения положительных эмоций.","Подумайте о человеке, которого хотите поблагодарить | Вспомните конкретные поступки или качества | Напишите искреннее письмо от руки | Украсьте письмо рисунками | Вручите лично или отправьте","Красивая бумага,ручка,конверт,цветные карандаши",30,easy,18+,creativity,"эмпатия,выражение чувств,письменная речь",indoor,"благодарность,письмо,отношения",false,any
creativity_021,Фрирайтинг,Свободное письмо без ограничений,"Техника свободного письма для развития креативности и преодоления писательского блока.","Установите таймер на 15-20 минут | Начните писать о чем угодно | Не останавливайтесь и не редактируйте | Пишите все, что приходит в голову | После прочитайте и выделите интересные идеи","Бумага,ручка,таймер",25,easy,18+,creativity,"креативное мышление,поток сознания,самовыражение",indoor,"фрирайтинг,креативность,письмо",false,any
active_games_001,Гараж для машинок,Дороги и парковки из скотча,Скотчем на полу создаются дороги и парковки. Ребенок паркует машинки по правилам.,"Наклейте скотч в виде дорог и парковок | Попросите ребенка правильно расставить машинки","Малярный скотч или изолента,машинки",15,medium,3-5,active_games,"логика,сюжетная игра,моторика",indoor,"машинки,дороги,парковка",false,any
active_games_002,Домашняя тренировка,Физические упражнения дома,"Комплекс простых упражнений для поддержания физической формы в домашних условиях.","Разомнитесь легкими движениями | Выполните отжимания, приседания, планку | Сделайте растяжку основных групп мышц | Следите за дыханием | Завершите релаксацией","Коврик для упражнений,удобная одежда,бутылка воды",30,easy,13-17,active_games,"физическая форма,выносливость,самодисциплина",indoor,"спорт,здоровье,тренировка",false,any
active_games_003,Осознанная прогулка,Прогулка без гаджетов с полным погружением в момент,"Медленная прогулка с концентрацией на окружающем мире, звуках, запахах и ощущениях.","Оставьте телефон дома или выключите звук | Идите медленнее обычного | Обращайте внимание на звуки, запахи, текстуры | Дышите глубоко | Наблюдайте за людьми и природой","Удобная обувь,одежда по погоде",45,easy,18+,active_games,"осознанность,наблюдательность,стрессоустойчивость",outdoor,"прогулка,медитация,осознанность",false,any
learn_new_001,Сортировка сокровищ,Рассортировать предметы по типу,Ребенок сортирует фасоль и пуговицы по ячейкам контейнера от яиц.,"Смешайте фасоль и пуговицы | Предложите ребенку разложить их по ячейкам","Контейнер от яиц,фасоль,пуговицы",10,easy,3-5,learn_new,"логика,внимание,моторика",indoor,"сортировка,игра,внимание",false,any
learn_new_002,Капсула времени,Послание себе в будущее,"Создание капсулы времени с предметами и письмами для себя в будущем.","Найдите прочную коробку | Напишите письмо себе будущему | Положите фотографии и памятные вещи | Запечатайте и спрячьте | Отметьте дату вскрытия в календаре","Коробка,бумага,ручка,фотографии,памятные предметы",40,easy,9-12,learn_new,"планирование,рефлексия,творческое мышление",indoor,"время,память,будущее",false,any
learn_new_003,Домашний квест,Поиск сокровищ по подсказкам,"Создание увлекательного квеста с загадками и подсказками по всему дому.","Придумайте финальный приз | Создайте цепочку подсказок | Спрячьте записки в разных местах | Начните с первой подсказки | Помогайте при затруднениях","Бумага,ручка,небольшой приз,воображение",45,medium,9-12,learn_new,"логическое мышление,решение задач,внимательность",indoor,"квест,загадки,приключение",false,any
learn_new_004,Шифры и коды,Изучение тайного языка,"Изучение различных способов шифрования сообщений и создание собственных кодов.","Изучите простые виды шифров (цезарь, морзе) | Создайте свой секретный алфавит | Зашифруйте послание другу | Попробуйте расшифровать ответ | Усложняйте коды постепенно","Бумага,ручка,таблицы шифров,линейка",35,medium,9-12,learn_new,"логика,математическое мышление,внимательность",indoor,"шифры,математика,секреты",false,any
learn_new_005,Научный эксперимент,Домашняя лаборатория,"Проведение простых и безопасных научных экспериментов для изучения природных явлений.","Выберите простой эксперимент | Подготовьте все материалы | Выдвиньте гипотезу о результате | Проведите опыт аккуратно | Запишите наблюдения и выводы","Материалы зависят от эксперимента,блокнот для записей",40,medium,9-12,learn_new,"научное мышление,наблюдательность,анализ",indoor,"наука,эксперимент,исследование",false,any
learn_new_006,Письмо от руки,Красивое рукописное письмо,"Практика написания писем от руки для развития почерка и навыков письменного общения.","Выберите красивую бумагу | Продумайте содержание письма | Пишите аккуратно и разборчиво | Украсьте письмо рисунками | Отправьте адресату по почте","Качественная бумага,хорошая ручка,конверт,марка",25,easy,9-12,learn_new,"письменная речь,мелкая моторика,терпение",indoor,"письмо,почерк,общение",false,any
learn_new_007,Изучение нового навыка,Освоение чего-то нового за день,"Интенсивное изучение нового навыка или хобби в течение дня.","Выберите навык, который давно хотели освоить | Найдите обучающие материалы | Составьте план изучения | Практикуйтесь несколько часов | Зафиксируйте прогресс","Зависит от выбранного навыка,интернет,блокнот",120,medium,13-17,learn_new,"самообучение,мотивация,концентрация",indoor,"обучение,навыки,развитие",false,any
learn_new_008,Разбор гардероба,Организация и стиль,"Полный пересмотр гардероба с анализом стиля и создание капсульных комплектов.","Достаньте всю одежду | Рассортируйте по категориям и сезонам | Отложите ненужное для пожертвования | Создайте удачные комплекты | Организуйте хранение","Вся одежда,зеркало,хорошее освещение",90,easy,13-17,learn_new,"организация,планирование,эстетический вкус",indoor,"стиль,организация,мода",false,any
learn_new_009,Планирование путешествия,Подготовка идеального отпуска,"Детальное планирование путешествия мечты с изучением культуры и достопримечательностей.","Выберите направление | Изучите культуру и историю места | Составьте маршрут по дням | Рассчитайте бюджет | Создайте список must-see мест","Интернет,карты,блокнот,калькулятор",60,medium,13-17,learn_new,"планирование,исследование,бюджетирование",indoor,"путешествие,планирование,география",false,any
learn_new_010,Микро-разбор,Идеальный порядок в одном месте,"Наведение идеального порядка в одном конкретном месте для получения быстрого результата.","Выберите один ящик, полку или угол | Полностью освободите пространство | Протрите и очистите | Рассортируйте вещи по важности | Красиво разложите обратно","Тряпки,организаторы,пакеты для мусора",15,easy,18+,learn_new,"организация,принятие решений,удовлетворение",indoor,"организация,порядок,продуктивность",false,any
learn_new_011,Свидание с собой,Качественное время наедине,"Запланированное время для себя с любимыми активностями и саморефлексией.","Запланируйте несколько часов только для себя | Выберите любимые занятия | Приготовьте вкусную еду | Отключите уведомления | Наслаждайтесь моментом","Зависит от выбранных активностей",90,easy,18+,learn_new,"самопознание,релаксация,самоуважение",indoor,"саморазвитие,отдых,осознанность",false,any
learn_new_012,Планирование недели,Эффективная организация времени,"Детальное планирование предстоящей недели с учетом приоритетов и баланса.","Проанализируйте предыдущую неделю | Поставьте цели на новую неделю | Распределите задачи по дням | Заложите время на отдых | Подготовьте все необходимое","Планнер,календарь,цветные ручки",45,easy,18+,learn_new,"планирование,тайм-менеджмент,организация",indoor,"планирование,продуктивность,цели",false,any
learn_new_013,Домашний SPA-ритуал,Релаксация и уход за собой,"Создание спа-атмосферы дома для полного расслабления и ухода за собой.","Приготовьте ванну с солью и маслами | Сделайте маски для лица и волос | Включите расслабляющую музыку | Зажгите свечи | Выпейте травяной чай","Соль для ванн,маски,свечи,музыка,чай",120,easy,18+,learn_new,"самопознание,релаксация,уход за собой",indoor,"спа,релакс,здоровье",false,any
learn_new_014,Цифровая детоксикация,День без гаджетов,"Полный отказ от цифровых устройств на определенное время для восстановления концентрации.","Выключите все гаджеты и уберите их | Займитесь офлайн-активностями | Читайте книги, гуляйте, общайтесь | Ведите дневник ощущений | Анализируйте опыт","Книги,блокнот,ручка,настольные игры",360,medium,18+,learn_new,"самоконтроль,осознанность,концентрация",any,"детокс,осознанность,здоровье",false,any
cooking_001,Создание своего рецепта,Кулинарное творчество,"Разработка и приготовление собственного уникального блюда с записью рецепта.","Выберите основные ингредиенты | Экспериментируйте с сочетаниями | Готовьте небольшими порциями | Записывайте все пропорции | Дегустируйте и корректируйте","Продукты,кухонная утварь,блокнот для рецептов",60,medium,13-17,cooking,"кулинарные навыки,креативность,экспериментирование",indoor,"готовка,рецепт,творчество",false,any
cooking_002,Приготовление нового блюда,Освоение новой кухни,"Изучение и приготовление блюда из незнакомой кухни мира.","Выберите кухню страны, которая вас интересует | Изучите традиции приготовления | Найдите аутентичные рецепты | Купите специальные ингредиенты | Готовьте с соблюдением традиций","Специфические продукты,специи,кухонная утварь",90,medium,18+,cooking,"кулинарные навыки,культурная осведомленность,следование инструкциям",indoor,"готовка,культура,новый опыт",false,any
